BinIndex;BinRange;Count
Bin607;303500.0000000000-304000.0000000000;0
Bin608;304000.0000000000-304500.0000000000;0
Bin609;304500.0000000000-305000.0000000000;0
Bin610;305000.0000000000-305500.0000000000;0
Bin611;305500.0000000000-306000.0000000000;0
Bin612;306000.0000000000-306500.0000000000;0
Bin613;306500.0000000000-307000.0000000000;0
Bin614;307000.0000000000-307500.0000000000;0
Bin615;307500.0000000000-308000.0000000000;0
Bin616;308000.0000000000-308500.0000000000;0
Bin617;308500.0000000000-309000.0000000000;0
Bin618;309000.0000000000-309500.0000000000;0
Bin619;309500.0000000000-310000.0000000000;0
Bin620;310000.0000000000-310500.0000000000;0
Bin621;310500.0000000000-311000.0000000000;0
Bin622;311000.0000000000-311500.0000000000;0
Bin623;311500.0000000000-312000.0000000000;0
Bin624;312000.0000000000-312500.0000000000;0
Bin625;312500.0000000000-313000.0000000000;0
Bin626;313000.0000000000-313500.0000000000;0
Bin627;313500.0000000000-314000.0000000000;0
Bin628;314000.0000000000-314500.0000000000;0
Bin629;314500.0000000000-315000.0000000000;0
Bin630;315000.0000000000-315500.0000000000;0
Bin631;315500.0000000000-316000.0000000000;0
Bin632;316000.0000000000-316500.0000000000;0
Bin633;316500.0000000000-317000.0000000000;0
Bin634;317000.0000000000-317500.0000000000;0
Bin635;317500.0000000000-318000.0000000000;0
Bin636;318000.0000000000-318500.0000000000;0
Bin637;318500.0000000000-319000.0000000000;0
Bin638;319000.0000000000-319500.0000000000;0
Bin639;319500.0000000000-320000.0000000000;0
Bin640;320000.0000000000-320500.0000000000;0
Bin641;320500.0000000000-321000.0000000000;0
Bin642;321000.0000000000-321500.0000000000;0
Bin643;321500.0000000000-322000.0000000000;0
Bin644;322000.0000000000-322500.0000000000;0
Bin645;322500.0000000000-323000.0000000000;0
Bin646;323000.0000000000-323500.0000000000;0
Bin647;323500.0000000000-324000.0000000000;0
Bin648;324000.0000000000-324500.0000000000;0
Bin649;324500.0000000000-325000.0000000000;0
Bin650;325000.0000000000-325500.0000000000;0
Bin651;325500.0000000000-326000.0000000000;0
Bin652;326000.0000000000-326500.0000000000;0
Bin653;326500.0000000000-327000.0000000000;0
Bin654;327000.0000000000-327500.0000000000;0
Bin655;327500.0000000000-328000.0000000000;0
Bin656;328000.0000000000-328500.0000000000;0
Bin657;328500.0000000000-329000.0000000000;0
Bin658;329000.0000000000-329500.0000000000;0
Bin659;329500.0000000000-330000.0000000000;0
Bin660;330000.0000000000-330500.0000000000;0
Bin661;330500.0000000000-331000.0000000000;0
Bin662;331000.0000000000-331500.0000000000;0
Bin663;331500.0000000000-332000.0000000000;0
Bin664;332000.0000000000-332500.0000000000;0
Bin665;332500.0000000000-333000.0000000000;0
Bin666;333000.0000000000-333500.0000000000;0
Bin667;333500.0000000000-334000.0000000000;0
Bin668;334000.0000000000-334500.0000000000;0
Bin669;334500.0000000000-335000.0000000000;0
Bin670;335000.0000000000-335500.0000000000;0
Bin671;335500.0000000000-336000.0000000000;0
Bin672;336000.0000000000-336500.0000000000;0
Bin673;336500.0000000000-337000.0000000000;0
Bin674;337000.0000000000-337500.0000000000;0
Bin675;337500.0000000000-338000.0000000000;0
Bin676;338000.0000000000-338500.0000000000;0
Bin677;338500.0000000000-339000.0000000000;0
Bin678;339000.0000000000-339500.0000000000;0
Bin679;339500.0000000000-340000.0000000000;0
Bin680;340000.0000000000-340500.0000000000;0
Bin681;340500.0000000000-341000.0000000000;0
Bin682;341000.0000000000-341500.0000000000;0
Bin683;341500.0000000000-342000.0000000000;0
Bin684;342000.0000000000-342500.0000000000;0
Bin685;342500.0000000000-343000.0000000000;0
Bin686;343000.0000000000-343500.0000000000;0
Bin687;343500.0000000000-344000.0000000000;0
Bin688;344000.0000000000-344500.0000000000;0
Bin689;344500.0000000000-345000.0000000000;0
Bin690;345000.0000000000-345500.0000000000;0
Bin691;345500.0000000000-346000.0000000000;0
Bin692;346000.0000000000-346500.0000000000;0
Bin693;346500.0000000000-347000.0000000000;0
Bin694;347000.0000000000-347500.0000000000;0
Bin695;347500.0000000000-348000.0000000000;0
Bin696;348000.0000000000-348500.0000000000;0
Bin697;348500.0000000000-349000.0000000000;0
Bin698;349000.0000000000-349500.0000000000;0
Bin699;349500.0000000000-350000.0000000000;0
Bin700;350000.0000000000-350500.0000000000;0
Bin701;350500.0000000000-351000.0000000000;0
Bin702;351000.0000000000-351500.0000000000;0
Bin703;351500.0000000000-352000.0000000000;0
Bin704;352000.0000000000-352500.0000000000;0
Bin705;352500.0000000000-353000.0000000000;0
Bin706;353000.0000000000-353500.0000000000;0
Bin707;353500.0000000000-354000.0000000000;0
Bin708;354000.0000000000-354500.0000000000;0
Bin709;354500.0000000000-355000.0000000000;0
Bin710;355000.0000000000-355500.0000000000;0
Bin711;355500.0000000000-356000.0000000000;0
Bin712;356000.0000000000-356500.0000000000;0
Bin713;356500.0000000000-357000.0000000000;0
Bin714;357000.0000000000-357500.0000000000;0
Bin715;357500.0000000000-358000.0000000000;0
Bin716;358000.0000000000-358500.0000000000;0
Bin717;358500.0000000000-359000.0000000000;0
Bin718;359000.0000000000-359500.0000000000;0
Bin719;359500.0000000000-360000.0000000000;0
Bin720;360000.0000000000-360500.0000000000;0
Bin721;360500.0000000000-361000.0000000000;0
Bin722;361000.0000000000-361500.0000000000;0
Bin723;361500.0000000000-362000.0000000000;0
Bin724;362000.0000000000-362500.0000000000;0
Bin725;362500.0000000000-363000.0000000000;0
Bin726;363000.0000000000-363500.0000000000;0
Bin727;363500.0000000000-364000.0000000000;0
Bin728;364000.0000000000-364500.0000000000;0
Bin729;364500.0000000000-365000.0000000000;0
Bin730;365000.0000000000-365500.0000000000;0
Bin731;365500.0000000000-366000.0000000000;0
Bin732;366000.0000000000-366500.0000000000;0
Bin733;366500.0000000000-367000.0000000000;0
Bin734;367000.0000000000-367500.0000000000;0
Bin735;367500.0000000000-368000.0000000000;0
Bin736;368000.0000000000-368500.0000000000;0
Bin737;368500.0000000000-369000.0000000000;0
Bin738;369000.0000000000-369500.0000000000;0
Bin739;369500.0000000000-370000.0000000000;0
Bin740;370000.0000000000-370500.0000000000;0
Bin741;370500.0000000000-371000.0000000000;0
Bin742;371000.0000000000-371500.0000000000;0
Bin743;371500.0000000000-372000.0000000000;0
Bin744;372000.0000000000-372500.0000000000;0
Bin745;372500.0000000000-373000.0000000000;0
Bin746;373000.0000000000-373500.0000000000;0
Bin747;373500.0000000000-374000.0000000000;0
Bin748;374000.0000000000-374500.0000000000;0
Bin749;374500.0000000000-375000.0000000000;0
Bin750;375000.0000000000-375500.0000000000;0
Bin751;375500.0000000000-376000.0000000000;0
Bin752;376000.0000000000-376500.0000000000;0
Bin753;376500.0000000000-377000.0000000000;0
Bin754;377000.0000000000-377500.0000000000;0
Bin755;377500.0000000000-378000.0000000000;0
Bin756;378000.0000000000-378500.0000000000;0
Bin757;378500.0000000000-379000.0000000000;0
Bin758;379000.0000000000-379500.0000000000;0
Bin759;379500.0000000000-380000.0000000000;0
Bin760;380000.0000000000-380500.0000000000;0
Bin761;380500.0000000000-381000.0000000000;0
Bin762;381000.0000000000-381500.0000000000;0
Bin763;381500.0000000000-382000.0000000000;0
Bin764;382000.0000000000-382500.0000000000;0
Bin765;382500.0000000000-383000.0000000000;0
Bin766;383000.0000000000-383500.0000000000;0
Bin767;383500.0000000000-384000.0000000000;0
Bin768;384000.0000000000-384500.0000000000;0
Bin769;384500.0000000000-385000.0000000000;0
Bin770;385000.0000000000-385500.0000000000;0
Bin771;385500.0000000000-386000.0000000000;0
Bin772;386000.0000000000-386500.0000000000;0
Bin773;386500.0000000000-387000.0000000000;0
Bin774;387000.0000000000-387500.0000000000;0
Bin775;387500.0000000000-388000.0000000000;0
Bin776;388000.0000000000-388500.0000000000;0
Bin777;388500.0000000000-389000.0000000000;0
Bin778;389000.0000000000-389500.0000000000;0
Bin779;389500.0000000000-390000.0000000000;0
Bin780;390000.0000000000-390500.0000000000;0
Bin781;390500.0000000000-391000.0000000000;0
Bin782;391000.0000000000-391500.0000000000;0
Bin783;391500.0000000000-392000.0000000000;0
Bin784;392000.0000000000-392500.0000000000;0
Bin785;392500.0000000000-393000.0000000000;0
Bin786;393000.0000000000-393500.0000000000;0
Bin787;393500.0000000000-394000.0000000000;0
Bin788;394000.0000000000-394500.0000000000;0
Bin789;394500.0000000000-395000.0000000000;0
Bin790;395000.0000000000-395500.0000000000;0
Bin791;395500.0000000000-396000.0000000000;0
Bin792;396000.0000000000-396500.0000000000;0
Bin793;396500.0000000000-397000.0000000000;0
Bin794;397000.0000000000-397500.0000000000;0
Bin795;397500.0000000000-398000.0000000000;0
Bin796;398000.0000000000-398500.0000000000;0
Bin797;398500.0000000000-399000.0000000000;0
Bin798;399000.0000000000-399500.0000000000;0
Bin799;399500.0000000000-400000.0000000000;0
Bin800;400000.0000000000-400500.0000000000;0
Bin801;400500.0000000000-401000.0000000000;0
Bin802;401000.0000000000-401500.0000000000;0
Bin803;401500.0000000000-402000.0000000000;0
Bin804;402000.0000000000-402500.0000000000;0
Bin805;402500.0000000000-403000.0000000000;0
Bin806;403000.0000000000-403500.0000000000;0
Bin807;403500.0000000000-404000.0000000000;0
Bin808;404000.0000000000-404500.0000000000;0
Bin809;404500.0000000000-405000.0000000000;0
Bin810;405000.0000000000-405500.0000000000;0
Bin811;405500.0000000000-406000.0000000000;0
Bin812;406000.0000000000-406500.0000000000;0
Bin813;406500.0000000000-407000.0000000000;0
Bin814;407000.0000000000-407500.0000000000;0
Bin815;407500.0000000000-408000.0000000000;0
Bin816;408000.0000000000-408500.0000000000;0
Bin817;408500.0000000000-409000.0000000000;0
Bin818;409000.0000000000-409500.0000000000;0
Bin819;409500.0000000000-410000.0000000000;0
Bin820;410000.0000000000-410500.0000000000;0
Bin821;410500.0000000000-411000.0000000000;0
Bin822;411000.0000000000-411500.0000000000;0
Bin823;411500.0000000000-412000.0000000000;0
Bin824;412000.0000000000-412500.0000000000;0
Bin825;412500.0000000000-413000.0000000000;0
Bin826;413000.0000000000-413500.0000000000;0
Bin827;413500.0000000000-414000.0000000000;0
Bin828;414000.0000000000-414500.0000000000;0
Bin829;414500.0000000000-415000.0000000000;0
Bin830;415000.0000000000-415500.0000000000;0
Bin831;415500.0000000000-416000.0000000000;0
Bin832;416000.0000000000-416500.0000000000;0
Bin833;416500.0000000000-417000.0000000000;0
Bin834;417000.0000000000-417500.0000000000;0
Bin835;417500.0000000000-418000.0000000000;0
Bin836;418000.0000000000-418500.0000000000;0
Bin837;418500.0000000000-419000.0000000000;0
Bin838;419000.0000000000-419500.0000000000;0
Bin839;419500.0000000000-420000.0000000000;0
Bin840;420000.0000000000-420500.0000000000;0
Bin841;420500.0000000000-421000.0000000000;0
Bin842;421000.0000000000-421500.0000000000;0
Bin843;421500.0000000000-422000.0000000000;0
Bin844;422000.0000000000-422500.0000000000;0
Bin845;422500.0000000000-423000.0000000000;0
Bin846;423000.0000000000-423500.0000000000;0
Bin847;423500.0000000000-424000.0000000000;0
Bin848;424000.0000000000-424500.0000000000;0
Bin849;424500.0000000000-425000.0000000000;0
Bin850;425000.0000000000-425500.0000000000;0
Bin851;425500.0000000000-426000.0000000000;0
Bin852;426000.0000000000-426500.0000000000;0
Bin853;426500.0000000000-427000.0000000000;0
Bin854;427000.0000000000-427500.0000000000;0
Bin855;427500.0000000000-428000.0000000000;0
Bin856;428000.0000000000-428500.0000000000;0
Bin857;428500.0000000000-429000.0000000000;0
Bin858;429000.0000000000-429500.0000000000;0
Bin859;429500.0000000000-430000.0000000000;0
Bin860;430000.0000000000-430500.0000000000;0
Bin861;430500.0000000000-431000.0000000000;0
Bin862;431000.0000000000-431500.0000000000;0
Bin863;431500.0000000000-432000.0000000000;0
Bin864;432000.0000000000-432500.0000000000;0
Bin865;432500.0000000000-433000.0000000000;0
Bin866;433000.0000000000-433500.0000000000;0
Bin867;433500.0000000000-434000.0000000000;0
Bin868;434000.0000000000-434500.0000000000;0
Bin869;434500.0000000000-435000.0000000000;0
Bin870;435000.0000000000-435500.0000000000;0
Bin871;435500.0000000000-436000.0000000000;0
Bin872;436000.0000000000-436500.0000000000;0
Bin873;436500.0000000000-437000.0000000000;0
Bin874;437000.0000000000-437500.0000000000;0
Bin875;437500.0000000000-438000.0000000000;0
Bin876;438000.0000000000-438500.0000000000;0
Bin877;438500.0000000000-439000.0000000000;0
Bin878;439000.0000000000-439500.0000000000;0
Bin879;439500.0000000000-440000.0000000000;0
Bin880;440000.0000000000-440500.0000000000;0
Bin881;440500.0000000000-441000.0000000000;0
Bin882;441000.0000000000-441500.0000000000;0
Bin883;441500.0000000000-442000.0000000000;0
Bin884;442000.0000000000-442500.0000000000;0
Bin885;442500.0000000000-443000.0000000000;0
Bin886;443000.0000000000-443500.0000000000;0
Bin887;443500.0000000000-444000.0000000000;0
Bin888;444000.0000000000-444500.0000000000;0
Bin889;444500.0000000000-445000.0000000000;0
Bin890;445000.0000000000-445500.0000000000;0
Bin891;445500.0000000000-446000.0000000000;0
Bin892;446000.0000000000-446500.0000000000;0
Bin893;446500.0000000000-447000.0000000000;0
Bin894;447000.0000000000-447500.0000000000;0
Bin895;447500.0000000000-448000.0000000000;0
Bin896;448000.0000000000-448500.0000000000;0
Bin897;448500.0000000000-449000.0000000000;0
Bin898;449000.0000000000-449500.0000000000;0
Bin899;449500.0000000000-450000.0000000000;0
Bin900;450000.0000000000-450500.0000000000;0
Bin901;450500.0000000000-451000.0000000000;0
Bin902;451000.0000000000-451500.0000000000;0
Bin903;451500.0000000000-452000.0000000000;0
Bin904;452000.0000000000-452500.0000000000;0
Bin905;452500.0000000000-453000.0000000000;0
Bin906;453000.0000000000-453500.0000000000;0
Bin907;453500.0000000000-454000.0000000000;0
Bin908;454000.0000000000-454500.0000000000;0
Bin909;454500.0000000000-455000.0000000000;0
Bin910;455000.0000000000-455500.0000000000;0
Bin911;455500.0000000000-456000.0000000000;0
Bin912;456000.0000000000-456500.0000000000;0
Bin913;456500.0000000000-457000.0000000000;0
Bin914;457000.0000000000-457500.0000000000;0
Bin915;457500.0000000000-458000.0000000000;0
Bin916;458000.0000000000-458500.0000000000;0
Bin917;458500.0000000000-459000.0000000000;0
Bin918;459000.0000000000-459500.0000000000;0
Bin919;459500.0000000000-460000.0000000000;0
Bin920;460000.0000000000-460500.0000000000;0
Bin921;460500.0000000000-461000.0000000000;0
Bin922;461000.0000000000-461500.0000000000;0
Bin923;461500.0000000000-462000.0000000000;0
Bin924;462000.0000000000-462500.0000000000;0
Bin925;462500.0000000000-463000.0000000000;0
Bin926;463000.0000000000-463500.0000000000;0
Bin927;463500.0000000000-464000.0000000000;0
Bin928;464000.0000000000-464500.0000000000;0
Bin929;464500.0000000000-465000.0000000000;0
Bin930;465000.0000000000-465500.0000000000;0
Bin931;465500.0000000000-466000.0000000000;0
Bin932;466000.0000000000-466500.0000000000;0
Bin933;466500.0000000000-467000.0000000000;0
Bin934;467000.0000000000-467500.0000000000;0
Bin935;467500.0000000000-468000.0000000000;0
Bin936;468000.0000000000-468500.0000000000;0
Bin937;468500.0000000000-469000.0000000000;0
Bin938;469000.0000000000-469500.0000000000;0
Bin939;469500.0000000000-470000.0000000000;0
Bin940;470000.0000000000-470500.0000000000;0
Bin941;470500.0000000000-471000.0000000000;0
Bin942;471000.0000000000-471500.0000000000;0
Bin943;471500.0000000000-472000.0000000000;0
Bin944;472000.0000000000-472500.0000000000;0
Bin945;472500.0000000000-473000.0000000000;0
Bin946;473000.0000000000-473500.0000000000;0
Bin947;473500.0000000000-474000.0000000000;0
Bin948;474000.0000000000-474500.0000000000;0
Bin949;474500.0000000000-475000.0000000000;0
Bin950;475000.0000000000-475500.0000000000;0
Bin951;475500.0000000000-476000.0000000000;0
Bin952;476000.0000000000-476500.0000000000;0
Bin953;476500.0000000000-477000.0000000000;0
Bin954;477000.0000000000-477500.0000000000;0
Bin955;477500.0000000000-478000.0000000000;0
Bin956;478000.0000000000-478500.0000000000;0
Bin957;478500.0000000000-479000.0000000000;0
Bin958;479000.0000000000-479500.0000000000;0
Bin959;479500.0000000000-480000.0000000000;0
Bin960;480000.0000000000-480500.0000000000;0
Bin961;480500.0000000000-481000.0000000000;0
Bin962;481000.0000000000-481500.0000000000;0
Bin963;481500.0000000000-482000.0000000000;0
Bin964;482000.0000000000-482500.0000000000;0
Bin965;482500.0000000000-483000.0000000000;0
Bin966;483000.0000000000-483500.0000000000;0
Bin967;483500.0000000000-484000.0000000000;0
Bin968;484000.0000000000-484500.0000000000;0
Bin969;484500.0000000000-485000.0000000000;0
Bin970;485000.0000000000-485500.0000000000;0
Bin971;485500.0000000000-486000.0000000000;0
Bin972;486000.0000000000-486500.0000000000;0
Bin973;486500.0000000000-487000.0000000000;0
Bin974;487000.0000000000-487500.0000000000;0
Bin975;487500.0000000000-488000.0000000000;0
Bin976;488000.0000000000-488500.0000000000;0
Bin977;488500.0000000000-489000.0000000000;0
Bin978;489000.0000000000-489500.0000000000;0
Bin979;489500.0000000000-490000.0000000000;0
Bin980;490000.0000000000-490500.0000000000;0
Bin981;490500.0000000000-491000.0000000000;0
Bin982;491000.0000000000-491500.0000000000;0
Bin983;491500.0000000000-492000.0000000000;0
Bin984;492000.0000000000-492500.0000000000;0
Bin985;492500.0000000000-493000.0000000000;0
Bin986;493000.0000000000-493500.0000000000;0
Bin987;493500.0000000000-494000.0000000000;0
Bin988;494000.0000000000-494500.0000000000;0
Bin989;494500.0000000000-495000.0000000000;0
Bin990;495000.0000000000-495500.0000000000;0
Bin991;495500.0000000000-496000.0000000000;0
Bin992;496000.0000000000-496500.0000000000;0
Bin993;496500.0000000000-497000.0000000000;0
Bin994;497000.0000000000-497500.0000000000;0
Bin995;497500.0000000000-498000.0000000000;0
Bin996;498000.0000000000-498500.0000000000;0
Bin997;498500.0000000000-499000.0000000000;0
Bin998;499000.0000000000-499500.0000000000;0
Bin999;499500.0000000000-500000.0000000000;3
